"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
Starlink-4365 ,Starlink-4365 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AR,53228,LEO - Sun-Synchronous
Starlink-4366 ,Starlink-4366 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AQ,53227,LEO - Sun-Synchronous
Starlink-4367 ,Starlink-4367 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AS,53229,LEO - Sun-Synchronous
Starlink-4368 ,Starlink-4368 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AX,53234,LEO - Sun-Synchronous
Starlink-4369 ,Starlink-4369 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084C,53191,LEO - Sun-Synchronous
Starlink-4370 ,Starlink-4370 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AU,53231,LEO - Sun-Synchronous
Starlink-4371 ,Starlink-4371 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AV,53232,LEO - Sun-Synchronous
Starlink-4372 ,Starlink-4372 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AW,53233,LEO - Sun-Synchronous
Starlink-4373 ,Starlink-4373 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AG,53219,LEO - Sun-Synchronous
Starlink-4374,Starlink-4374,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105E,53652,LEO - Sun-Synchronous
Starlink-4375 ,Starlink-4375 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084D,53192,LEO - Sun-Synchronous
Starlink-4376 ,Starlink-4376 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AD,53216,LEO - Sun-Synchronous
Starlink-4377 ,Starlink-4377 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AJ,53221,LEO - Sun-Synchronous
Starlink-4378,Starlink-4378,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099M,53476,LEO - Non-Polar Inclined
Starlink-4379 ,Starlink-4379 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AE,53217,LEO - Sun-Synchronous
Starlink-4380,Starlink-4380,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105C,53650,LEO - Sun-Synchronous
Starlink-4381 ,Starlink-4381 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AK,53222,LEO - Sun-Synchronous
Starlink-4382 ,Starlink-4382 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084F,53194,LEO - Sun-Synchronous
Starlink-4383,Starlink-4383,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099J,53473,LEO - Non-Polar Inclined
Starlink-4384 ,Starlink-4384 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AF,53218,LEO - Sun-Synchronous
Starlink-4385 ,Starlink-4385 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084K,53198,LEO - Sun-Synchronous
Starlink-4386,Starlink-4386,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105B,53649,LEO - Sun-Synchronous
Starlink-4387,Starlink-4387,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AB,53490,LEO - Non-Polar Inclined
Starlink-4388,Starlink-4388,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105D,53651,LEO - Sun-Synchronous
Starlink-4389,Starlink-4389,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099L,53475,LEO - Non-Polar Inclined
Starlink-4390,Starlink-4390,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105F,53653,LEO - Sun-Synchronous
Starlink-4391 ,Starlink-4391 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084A,53189,LEO - Sun-Synchronous
Starlink-4392,Starlink-4392,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2922-099AA,53489,LEO - Non-Polar Inclined
Starlink-4393,Starlink-4393,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099F,53470,LEO - Non-Polar Inclined
Starlink-4394,Starlink-4394,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099C,53467,LEO - Non-Polar Inclined
Starlink-4395 ,Starlink-4395 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084L,53199,LEO - Sun-Synchronous
Starlink-4396,Starlink-4396,USA,USA,SpaceX,Commercial,Communications,0.0,539,541,0.00026845637583892615,53.2,95.4,260.0,2022-08-28 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2022-104BB,53637,LEO - Non-Polar Inclined
Starlink-4397 ,Starlink-4397 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084S,53205,LEO - Sun-Synchronous
Starlink-4398,Starlink-4398,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099B,53466,LEO - Non-Polar Inclined
Starlink-4399,Starlink-4399,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099E,53469,LEO - Non-Polar Inclined
Starlink-4400,Starlink-4400,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099D,53468,LEO - Non-Polar Inclined
Starlink-4401,Starlink-4401,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099U,53483,LEO - Non-Polar Inclined
Starlink-4402,Starlink-4402,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AW,53509,LEO - Non-Polar Inclined
Starlink-4403 ,Starlink-4403 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084J,53197,LEO - Sun-Synchronous
Starlink-4404 ,Starlink-4404 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084G,53195,LEO - Sun-Synchronous
Starlink-4405  ,Starlink-4405  ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084N,53201,LEO - Sun-Synchronous
Starlink-4406,Starlink-4406,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105V,53667,LEO - Sun-Synchronous
Starlink-4407 ,Starlink-4407 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084H,53196,LEO - Sun-Synchronous
Starlink-4408 ,Starlink-4408 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084T,53206,LEO - Sun-Synchronous
Starlink-4409 ,Starlink-4409 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084Q,53203,LEO - Sun-Synchronous
Starlink-4410 ,Starlink-4410 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084R,53204,LEO - Sun-Synchronous
Starlink-4411 ,Starlink-4411 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084P,53202,LEO - Sun-Synchronous
Starlink-4412,Starlink-4412,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099N,53477,LEO - Non-Polar Inclined
Starlink-4413 ,Starlink-4413 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084U,53207,LEO - Sun-Synchronous
Starlink-4414 ,Starlink-4414 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084AA,53213,LEO - Sun-Synchronous
Starlink-4415,Starlink-4415,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099A,53465,LEO - Non-Polar Inclined
Starlink-4416 ,Starlink-4416 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084Z,53212,LEO - Sun-Synchronous
Starlink-4417 ,Starlink-4417 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084M,53200,LEO - Sun-Synchronous
Starlink-4418,Starlink-4418,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105AG,53678,LEO - Sun-Synchronous
Starlink-4419 ,Starlink-4419 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084Y,53211,LEO - Sun-Synchronous
Starlink-4420,Starlink-4420,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105G,53654,LEO - Sun-Synchronous
Starlink-4421,Starlink-4421,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099Z,53488,LEO - Non-Polar Inclined
Starlink-4422,Starlink-4422,USA,USA,SpaceX,Commercial,Communications,0.0,539,541,0.00026845637583892615,53.2,95.4,260.0,2022-08-28 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2022-104BD,53639,LEO - Non-Polar Inclined
Starlink-4423 ,Starlink-4423 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084W,53209,LEO - Sun-Synchronous
Starlink-4424,Starlink-4424,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105AK,53681,LEO - Sun-Synchronous
Starlink-4425 ,Starlink-4425 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084V,53208,LEO - Sun-Synchronous
Starlink-4426,Starlink-4426,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099V,53484,LEO - Non-Polar Inclined
Starlink-4427 ,Starlink-4427 ,USA,USA,Spacex,Commercial,Communications,0.0,561,564,0.00040026684456304204,97.7,95.9,260.0,2022-07-22 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-084X,53210,LEO - Sun-Synchronous
Starlink-4428,Starlink-4428,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105AA,53672,LEO - Sun-Synchronous
Starlink-4429,Starlink-4429,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AG,53495,LEO - Non-Polar Inclined
Starlink-4430,Starlink-4430,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099W,53485,LEO - Non-Polar Inclined
Starlink-4431,Starlink-4431,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099X,53486,LEO - Non-Polar Inclined
Starlink-4432,Starlink-4432,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099Y,53487,LEO - Non-Polar Inclined
Starlink-4433,Starlink-4433,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099P,53478,LEO - Non-Polar Inclined
Starlink-4434,Starlink-4434,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AN,53501,LEO - Non-Polar Inclined
Starlink-4435,Starlink-4435,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AP,53502,LEO - Non-Polar Inclined
Starlink-4436,Starlink-4436,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099Q,53479,LEO - Non-Polar Inclined
Starlink-4437,Starlink-4437,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AT,53506,LEO - Non-Polar Inclined
Starlink-4438,Starlink-4438,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105AL,53682,LEO - Sun-Synchronous
Starlink-4439,Starlink-4439,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AK,53498,LEO - Non-Polar Inclined
Starlink-4440,Starlink-4440,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105Z,53671,LEO - Sun-Synchronous
Starlink-4441,Starlink-4441,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AX,53510,LEO - Non-Polar Inclined
Starlink-4442,Starlink-4442,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099R,53480,LEO - Non-Polar Inclined
Starlink-4443,Starlink-4443,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AV,53508,LEO - Non-Polar Inclined
Starlink-4444,Starlink-4444,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AU,53507,LEO - Non-Polar Inclined
Starlink-4445,Starlink-4445,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099K,53474,LEO - Non-Polar Inclined
Starlink-4446,Starlink-4446,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AS,53505,LEO - Non-Polar Inclined
Starlink-4447,Starlink-4447,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099H,53472,LEO - Non-Polar Inclined
Starlink-4448,Starlink-4448,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AR,53504,LEO - Non-Polar Inclined
Starlink-4449,Starlink-4449,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105U,53666,LEO - Sun-Synchronous
Starlink-4450,Starlink-4450,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AC,53491,LEO - Non-Polar Inclined
Starlink-4451,Starlink-4451,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AD,53492,LEO - Non-Polar Inclined
Starlink-4452,Starlink-4452,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105L,53658,LEO - Sun-Synchronous
Starlink-4453,Starlink-4453,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AJ,53497,LEO - Non-Polar Inclined
Starlink-4454,Starlink-4454,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AL,53499,LEO - Non-Polar Inclined
Starlink-4455,Starlink-4455,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AM,53500,LEO - Non-Polar Inclined
Starlink-4456,Starlink-4456,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105AB,53673,LEO - Sun-Synchronous
Starlink-4457,Starlink-4457,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105R,53663,LEO - Sun-Synchronous
Starlink-4458,Starlink-4458,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105W,53668,LEO - Sun-Synchronous
Starlink-4459,Starlink-4459,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105Y,53670,LEO - Sun-Synchronous
Starlink-4461,Starlink-4461,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AQ,53503,LEO - Non-Polar Inclined
Starlink-4462 ,Starlink-4462 ,USA,USA,SpaceX,Commercial,Communications,0.0,539,541,0.00026845637583892615,53,95.4,260.0,2022-09-11 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2022-111J ,53781,LEO - Non-Polar Inclined
Starlink-4463,Starlink-4463,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105M,53659,LEO - Sun-Synchronous
Starlink-4464,Starlink-4464,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105X,53669,LEO - Sun-Synchronous
Starlink-4465,Starlink-4465,USA,USA,SpaceX,Commercial,Communications,0.0,562,564,0.00026680896478121667,53.2,95.9,260.0,2022-08-12 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-099AH,53496,LEO - Non-Polar Inclined
Starlink-4466,Starlink-4466,NR (9/22),USA,SpaceX,Commercial,Communications,0.0,556,560,0.0005343307507347048,97.6,95.8,260.0,2022-08-31 00:00:00,4.0,SpaceX,USA,Vandenberg AFB,Falcon 9,2022-105J,53656,LEO - Sun-Synchronous
