NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
51147,2022-005AV ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50807,2022-001E ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51146,2022-005AU ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50808,2022-001F ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51133,2022-005AF ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51150,2022-005AY ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51109,2022-005F ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51148,2022-005AW ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51149,2022-005AX ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51151,2022-005AZ ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51108,2022-005E ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51135,2022-005AH ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51152,2022-005BA ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51145,2022-005AT ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51104,2022-005A ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51107,2022-005D ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51142,2022-005AQ ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51127,2022-005Z ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51113,2022-005K ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51122,2022-005U ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51112,2022-005J ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51114,2022-005L ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51126,2022-005Y ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51125,2022-005X ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51131,2022-005AD ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51124,2022-005W ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51119,2022-005R ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51117,2022-005P ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51123,2022-005V ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51132,2022-005AE ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51118,2022-005Q ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51130,2022-005AC ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51129,2022-005AB ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51115,2022-005M ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51120,2022-005S ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51121,2022-005T ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
51128,2022-005AA ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
